segment,mean,var,std,len_weighted,gaps_squared,n_peaks,smooth10_n_peaks,smooth20_n_peaks,var_div_duration,var_div_len,diff_peaks,diff2_peaks,diff_var,diff2_var,kurtosis,skew
1,8.533143499999998e-07,3.49428315570552e-10,1.8693001780627744e-05,280,279,4,3,2,1.2524312386041289e-12,1.2479582698948285e-12,4,6,1.2711755417075724e-10,2.9606660433502864e-10,0.6311173662492302,0.5520522696354365
2,-3.639396266247381e-06,6.476484614528283e-10,2.5448938316810556e-05,477,476,1,1,1,1.3606060114555216e-12,1.357753587951422e-12,5,8,1.4893834768968185e-12,3.004752494170574e-12,-1.2436105409484075,0.4256322649450154
3,1.1707879512605042e-05,5.59287714097435e-10,2.364926455722112e-05,595,594,3,2,2,9.415618082448399e-13,9.399793514242604e-13,2,3,4.112280202789317e-12,1.0299180074673246e-11,-0.2845925576500123,-0.8261874641934153
4,8.486808235294126e-07,5.46602384661463e-10,2.3379529179636252e-05,272,271,2,2,2,2.016982969230492e-12,2.009567590667144e-12,3,6,2.4757597647001087e-11,6.240984572962385e-11,-0.8870884659002054,-0.1384979514679493
8,1.5204373149999998e-06,1.652298873352987e-10,1.2854177816387116e-05,400,399,3,3,2,4.141099933215506e-13,4.1307471833824674e-13,1,2,1.989722057280419e-11,5.946671994860804e-11,-0.1114814980954337,0.5987550414758036
9,4.173000953307394e-07,1.73340145538637e-10,1.316587048161408e-05,514,513,1,1,1,3.378950205431521e-13,3.372376372347024e-13,4,2,1.1309735970453785e-12,2.510246914573329e-12,-0.8595242578461675,0.3059972421010178
15,-7.767890676616916e-06,1.4598433919622123e-10,1.2082397907543902e-05,201,200,8,2,1,7.299216959811063e-13,7.262902447573198e-13,21,32,4.035516531419921e-12,9.654801934071314e-12,-1.3764193585466062,-0.1466542507753611
19,-5.584398348768473e-06,1.9262978945958084e-10,1.387911342484025e-05,203,202,2,1,1,9.536128191068358e-13,9.489152190127137e-13,29,40,2.3599440551902203e-12,5.479548364194244e-12,-1.2649221065817802,-0.1468441553509792
22,-5.040148853641304e-06,2.2957973930255104e-10,1.5151888968130378e-05,184,183,6,1,1,1.2545340945494592e-12,1.247715974470386e-12,14,15,7.517321168711943e-12,1.5725877456716946e-11,0.5374727443578138,-1.5093964027183435
24,-8.968957113861387e-06,4.0564902046655837e-10,2.0140730385627982e-05,202,201,1,1,1,2.018154330679395e-12,2.0081634676562297e-12,12,13,6.703092841414196e-12,1.307913476781837e-11,-1.3019901857550655,-0.1811360840432008
