segment,mean,var,std,len_weighted,gaps_squared,n_peaks,smooth10_n_peaks,smooth20_n_peaks,var_div_duration,var_div_len,diff_peaks,diff2_peaks,diff_var,diff2_var,kurtosis,skew
6,6.326025494071145e-06,6.643179719118847e-10,2.5774366566646883e-05,253,252,1,1,1,2.636182428221765e-12,2.625762734829584e-12,66,84,6.430575230937019e-13,7.268033028148551e-13,-1.3023085613490446,-0.179240113059536
10,4.411687239747634e-06,6.31100611241738e-10,2.5121715929484952e-05,317,316,1,1,1,1.997153833043475e-12,1.9908536632231484e-12,97,104,5.293624016340368e-13,8.428462406968079e-13,-1.2167116352009533,-0.1281759287096554
11,-4.51954224e-06,4.3323061321283654e-10,2.0814192590942283e-05,230,229,1,1,1,1.891836738920684e-12,1.883611361794942e-12,71,84,5.909420092907243e-13,8.931564543910516e-13,-1.2642493263381809,-0.2320908424929871
14,6.963036954954955e-06,6.600910775784001e-10,2.569223769114711e-05,222,221,1,1,1,2.9868374551058838e-12,2.9733832323351362e-12,67,77,8.710885684176065e-13,1.0171315610337586e-12,-1.3099544300386137,-0.1617670429963454
16,2.560307673600001e-06,5.613340482840468e-10,2.369248928002389e-05,250,249,1,1,1,2.2543536075664533e-12,2.245336193136188e-12,67,66,2.09028752873673e-12,4.5076300228425646e-12,-1.4583843794155231,-0.0394007283374755
17,2.181008912133891e-06,3.4062737476365075e-10,1.845609316089542e-05,239,238,1,1,1,1.4312074569901292e-12,1.4252191412705053e-12,54,64,1.6851626846655493e-12,3.865913626402384e-12,-1.0120805740067558,-0.363082320020136
23,2.346611106557377e-06,8.908867435407415e-10,2.9847725935835408e-05,244,243,1,1,1,3.6662005907026396e-12,3.651175178445663e-12,47,53,3.0884833911403045e-12,6.299152873774194e-12,-1.4878089313826552,0.0022501749039919
25,9.8655519138756e-07,6.941012221737457e-10,2.634580084517732e-05,209,208,1,1,1,3.3370251066045472e-12,3.321058479300219e-12,50,61,2.0925472008710955e-12,3.571336707892104e-12,-1.4755890643097809,-0.031255114779436
26,2.9755845450236967e-06,8.370861073143552e-10,2.8932440396799493e-05,211,210,1,1,1,3.9861243205445476e-12,3.967232736086992e-12,42,53,2.494872292997721e-12,4.621311987082184e-12,-1.4931356400078035,-0.0093463402546961
27,7.010657576354678e-06,5.013480960466014e-10,2.2390803827611936e-05,203,202,2,1,1,2.481921267557433e-12,2.4696950544167558e-12,36,38,3.2894368618308617e-12,7.773531738830662e-12,-0.8336900319426253,-0.4789567957926405
32,6.426002753694582e-07,2.288334056561209e-10,1.5127240516899338e-05,203,202,1,1,1,1.132838641861985e-12,1.1272581559414826e-12,55,61,1.886357072614889e-12,5.296148517595596e-12,-1.2901575129495155,-0.1535840082192607
33,2.101973343478261e-06,3.6454762997174184e-10,1.909313043928999e-05,230,229,1,1,1,1.5919110479115366e-12,1.5849896955293129e-12,64,64,2.332067506749891e-12,6.430783995253762e-12,-1.4942384421491517,0.0198442970180315
34,-7.543538026881721e-06,8.746723383396739e-11,9.352391877694572e-06,186,185,3,1,1,4.72795858561986e-13,4.702539453439108e-13,41,44,1.5755302193307805e-12,4.361466225010511e-12,-1.1978992609144303,-0.2081805538291964
36,3.743594481308412e-06,6.40731486430014e-10,2.531267442270797e-05,214,213,1,1,1,3.008129044272367e-12,2.9940723664953928e-12,51,59,1.5349787323895149e-12,3.1348538200671495e-12,-1.1666609687637206,-0.2631781676284668
37,6.116210595854922e-06,7.083659690789162e-10,2.661514548295606e-05,193,192,1,1,1,3.689406088952689e-12,3.670289995227546e-12,31,38,1.7912677071097193e-12,3.085998146989425e-12,-1.153059937909473,-0.2862722087532431
38,1.7975299492386502e-08,7.739083804899864e-10,2.781920884011597e-05,197,196,1,1,1,3.948512145357074e-12,3.928468936497393e-12,44,55,1.4800673793906628e-12,2.055843066294225e-12,-1.4850694590849882,-0.0666227459606806
39,-4.013059732673268e-06,7.030623892734438e-10,2.6515323669030403e-05,202,201,1,1,1,3.4978228322061884e-12,3.4805068775913067e-12,53,63,2.0956523023503574e-12,4.619261055251599e-12,-1.5032768274517874,0.0422817171651537
40,-5.13265655e-06,3.017189325157163e-10,1.737005850639877e-05,182,181,2,1,1,1.666955428263626e-12,1.6577963325039357e-12,41,48,4.688929118648005e-12,1.2691291607019423e-11,-1.0719674877397287,-0.2704383521480956
41,4.06904122e-06,4.4451811298617954e-10,2.108359819827203e-05,200,199,1,1,1,2.233759361739596e-12,2.222590564930898e-12,34,40,2.5415260430275344e-12,6.39152218713094e-12,-1.4026988422537556,-0.1200316282187602
44,7.183812135922328e-07,3.1104888852690237e-10,1.7636578141093652e-05,206,205,2,1,1,1.5173116513507432e-12,1.5099460608102057e-12,34,41,2.7770370187511977e-12,7.85309143882054e-12,-1.4721426388551364,-0.0150803784611694
45,-1.312462500000001e-07,2.438485665346287e-10,1.561565133238536e-05,196,195,2,1,1,1.2505054694083525e-12,1.2441253394623913e-12,41,36,2.3971462657617682e-12,6.253709589544623e-12,-1.4229913972403705,-0.0620299500774983
46,6.967145411827957e-06,2.3819755769149706e-10,1.543365017393802e-05,186,185,3,1,1,1.2875543658999845e-12,1.2806320305994468e-12,40,52,2.3558835814535306e-12,4.935010106102847e-12,-1.429684555894081,-0.1021904956909832
47,-3.4006216e-06,2.0932254182656862e-10,1.4467983336545858e-05,185,184,1,1,1,1.1376225099270034e-12,1.131473199062533e-12,44,53,9.644726418815068e-13,1.856168658358875e-12,-0.9771111583624026,-0.3765486249078456
48,-1.4488028452991454e-06,6.032890044128558e-10,2.4561942195454656e-05,234,233,1,1,1,2.589223194904961e-12,2.5781581385164787e-12,55,63,1.6012962324056473e-12,3.132799937927992e-12,-1.4895453009880302,0.0157715787369657
49,-6.523637596774194e-06,2.5008550452398304e-10,1.5814091960146906e-05,186,185,2,1,1,1.351813537967476e-12,1.3445457232472206e-12,27,35,1.823506578813816e-12,4.3735662208427516e-12,-0.6905052180708902,-0.7442022222449438
53,-3.737276556701031e-06,8.166443576989557e-10,2.857699000417916e-05,194,193,1,1,1,4.23131791553863e-12,4.209506998448225e-12,45,62,3.1669332527812304e-12,6.061745467709311e-12,-1.4758693751638186,-0.0164847932084414
55,3.601382387931034e-06,5.119306924574624e-10,2.2625885451346705e-05,174,173,1,1,1,2.95913695062117e-12,2.9421304164221976e-12,45,50,2.5160701738773417e-12,5.5222220290121546e-12,-1.0730512326690211,-0.3433641113262408
56,4.68003470157068e-06,4.415157822380448e-10,2.1012276940827822e-05,191,190,1,1,1,2.3237672749370777e-12,2.311600954125889e-12,29,45,2.651447712992497e-12,5.423697489754469e-12,-1.217343212252034,-0.1906420296395878
58,-4.3134840754716985e-06,9.74329108007339e-11,9.870811050807015e-06,159,158,2,1,1,6.166639924097082e-13,6.12785602520339e-13,28,36,2.0130440020890228e-12,4.249245681800116e-12,-1.3936797186758496,0.0043021026279251
65,7.0171540421052645e-06,7.616527140263473e-10,2.759805634508248e-05,190,189,1,1,1,4.029908539821943e-12,4.008698494875512e-12,58,68,1.0784858541917028e-12,1.1094434853895177e-12,-1.0739005137153346,-0.3149010869319039
67,-3.84912996111111e-06,6.640561139815299e-10,2.5769286252853998e-05,180,179,1,1,1,3.709810692634245e-12,3.6892006332307206e-12,48,56,1.086661011723246e-12,7.683594323691488e-13,-1.4956430025912677,-0.0036867545410024
68,-5.100298848648649e-06,5.188734516159004e-10,2.2778793901695067e-05,185,184,1,1,1,2.8199644109559807e-12,2.804721360085948e-12,53,59,8.803084129211662e-13,8.900904496353864e-13,-1.416096102682555,-0.0642284565779919
69,2.671946816216216e-06,4.927733588189808e-10,2.219849902175777e-05,185,184,1,1,1,2.6781160805379395e-12,2.663639777399897e-12,58,67,8.981383545909286e-13,1.0637560706832997e-12,-1.4689595707856722,-0.0561836788134265
70,3.182576854651162e-06,2.6726509355641103e-10,1.6348244357006993e-05,172,171,1,1,1,1.5629537634877838e-12,1.5538668230023896e-12,52,60,5.422247932519427e-13,7.784233211330322e-13,-1.0258049602082415,-0.4235697550629071
73,-4.1057247484662585e-06,9.305489476574432e-11,9.646496502137153e-06,163,162,1,1,1,5.744129306527428e-13,5.708889249432167e-13,48,55,3.9829594881921e-13,6.973088195415398e-13,-1.4643084778714672,-0.0251626262914755
76,3.495366430939227e-06,2.587241683162709e-10,1.6084904983128465e-05,181,180,1,1,1,1.4373564906459497e-12,1.429415294565033e-12,31,34,3.1433002442956957e-12,8.166129331452272e-12,-1.4225883367707646,-0.0773036654387795
